corridor_id,section_id,line_id,asset_id,asset_type,asset_criticality,location_km
COR-1,SEC-1,LIN-1,AST-1,TRACK,92,15.0
COR-1,SEC-1,LIN-2,AST-2,OHE,88,22.5
COR-1,SEC-2,LIN-3,AST-3,SIGNAL,85,145.0
COR-1,SEC-2,LIN-4,AST-4,TRACK,78,180.0
COR-2,SEC-3,LIN-5,AST-5,TRACK,75,45.0
COR-2,SEC-3,LIN-5,AST-6,BRIDGE,90,60.0
COR-2,SEC-4,LIN-6,AST-7,OHE,82,200.0
COR-2,SEC-4,LIN-6,AST-8,SIGNAL,80,220.0
COR-3,SEC-5,LIN-7,AST-9,TRACK,70,100.0
COR-3,SEC-5,LIN-7,AST-10,OHE,77,150.0
COR-3,SEC-6,LIN-8,AST-11,TRACK,84,500.0
COR-3,SEC-6,LIN-8,AST-12,SIGNAL,86,550.0
