corridor_id,section_id,line_id,service_date,start_time,end_time,confidence,forecast_count,risk_score
COR-1,SEC-1,LIN-1,2026-09-01,02:00,04:00,0.4,3,40
COR-2,SEC-3,LIN-5,2026-09-01,02:00,04:00,0.3,1,30
COR-3,SEC-5,LIN-7,2026-09-01,02:00,04:00,0.6,4,60
COR-1,SEC-1,LIN-1,2026-09-02,02:00,04:00,0.85,2,85
COR-1,SEC-1,LIN-1,2026-09-02,13:30,15:30,0.9,3,90
COR-2,SEC-3,LIN-5,2026-09-02,02:00,04:00,0.3,2,30
COR-3,SEC-5,LIN-7,2026-09-02,02:00,04:00,0.3,3,30
COR-1,SEC-1,LIN-1,2026-09-03,02:00,04:00,0.3,1,30
COR-2,SEC-3,LIN-5,2026-09-03,02:00,04:00,0.6,4,60
COR-3,SEC-5,LIN-7,2026-09-03,02:00,04:00,0.6,1,60
COR-1,SEC-1,LIN-1,2026-09-04,02:00,04:00,0.6,1,60
COR-2,SEC-3,LIN-5,2026-09-04,02:00,04:00,0.85,4,85
COR-3,SEC-5,LIN-7,2026-09-04,02:00,04:00,0.3,4,30
COR-1,SEC-1,LIN-1,2026-09-05,02:00,04:00,0.6,4,60
COR-2,SEC-3,LIN-5,2026-09-05,02:00,04:00,0.4,4,40
COR-3,SEC-5,LIN-7,2026-09-05,02:00,04:00,0.4,3,40
COR-1,SEC-1,LIN-1,2026-09-06,02:00,04:00,0.85,4,85
COR-2,SEC-3,LIN-5,2026-09-06,02:00,04:00,0.85,3,85
COR-3,SEC-5,LIN-7,2026-09-06,02:00,04:00,0.6,2,60
COR-1,SEC-1,LIN-1,2026-09-07,02:00,04:00,0.3,3,30
COR-2,SEC-3,LIN-5,2026-09-07,02:00,04:00,0.85,2,85
COR-3,SEC-5,LIN-7,2026-09-07,02:00,04:00,0.85,4,85
COR-1,SEC-1,LIN-1,2026-09-08,02:00,04:00,0.6,1,60
COR-2,SEC-3,LIN-5,2026-09-08,02:00,04:00,0.85,3,85
COR-3,SEC-5,LIN-7,2026-09-08,02:00,04:00,0.4,4,40
COR-1,SEC-1,LIN-1,2026-09-09,02:00,04:00,0.4,3,40
COR-2,SEC-3,LIN-5,2026-09-09,02:00,04:00,0.6,3,60
COR-3,SEC-5,LIN-7,2026-09-09,02:00,04:00,0.6,3,60
COR-1,SEC-1,LIN-1,2026-09-10,02:00,04:00,0.3,2,30
COR-2,SEC-3,LIN-5,2026-09-10,02:00,04:00,0.3,2,30
COR-3,SEC-5,LIN-7,2026-09-10,02:00,04:00,0.85,4,85
COR-1,SEC-1,LIN-1,2026-09-11,02:00,04:00,0.4,4,40
COR-2,SEC-3,LIN-5,2026-09-11,02:00,04:00,0.85,4,85
COR-3,SEC-5,LIN-7,2026-09-11,02:00,04:00,0.3,1,30
COR-1,SEC-1,LIN-1,2026-09-12,02:00,04:00,0.6,2,60
COR-2,SEC-3,LIN-5,2026-09-12,02:00,04:00,0.85,2,85
COR-3,SEC-5,LIN-7,2026-09-12,02:00,04:00,0.6,3,60
COR-1,SEC-1,LIN-1,2026-09-13,02:00,04:00,0.85,3,85
COR-2,SEC-3,LIN-5,2026-09-13,02:00,04:00,0.85,3,85
COR-3,SEC-5,LIN-7,2026-09-13,02:00,04:00,0.6,4,60
COR-1,SEC-1,LIN-1,2026-09-14,02:00,04:00,0.6,3,60
COR-2,SEC-3,LIN-5,2026-09-14,02:00,04:00,0.6,2,60
COR-3,SEC-5,LIN-7,2026-09-14,02:00,04:00,0.3,2,30
