train_id,corridor_id,section_id,line_id,train_type,service_date,departure_time,arrival_time,buffer_before,buffer_after
TRN-0001,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-01,06:00,06:30,15,15
TRN-0002,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-01,08:30,09:00,15,15
TRN-0003,COR-1,SEC-1,LIN-1,GOODS,2026-09-01,10:00,10:45,10,10
TRN-0004,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-01,06:00,06:30,15,15
TRN-0005,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-01,08:30,09:00,15,15
TRN-0006,COR-2,SEC-3,LIN-5,GOODS,2026-09-01,10:00,10:45,10,10
TRN-0007,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-01,06:00,06:30,15,15
TRN-0008,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-01,08:30,09:00,15,15
TRN-0009,COR-3,SEC-5,LIN-7,GOODS,2026-09-01,10:00,10:45,10,10
TRN-0010,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-02,06:00,06:30,15,15
TRN-0011,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-02,08:30,09:00,15,15
TRN-0012,COR-1,SEC-1,LIN-1,GOODS,2026-09-02,10:00,10:45,10,10
TRN-0013,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-02,01:30,02:00,15,15
TRN-0014,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-02,06:00,06:30,15,15
TRN-0015,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-02,08:30,09:00,15,15
TRN-0016,COR-2,SEC-3,LIN-5,GOODS,2026-09-02,10:00,10:45,10,10
TRN-0017,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-02,01:30,02:00,15,15
TRN-0018,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-02,06:00,06:30,15,15
TRN-0019,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-02,08:30,09:00,15,15
TRN-0020,COR-3,SEC-5,LIN-7,GOODS,2026-09-02,10:00,10:45,10,10
TRN-0021,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-02,01:30,02:00,15,15
TRN-0022,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-03,06:00,06:30,15,15
TRN-0023,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-03,08:30,09:00,15,15
TRN-0024,COR-1,SEC-1,LIN-1,GOODS,2026-09-03,10:00,10:45,10,10
TRN-0025,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-03,13:45,14:30,15,15
TRN-0026,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-03,06:00,06:30,15,15
TRN-0027,COR-2,SEC-3,LIN-5,PASSENGER,2026-09-03,08:30,09:00,15,15
TRN-0028,COR-2,SEC-3,LIN-5,GOODS,2026-09-03,10:00,10:45,10,10
TRN-0029,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-03,06:00,06:30,15,15
TRN-0030,COR-3,SEC-5,LIN-7,PASSENGER,2026-09-03,08:30,09:00,15,15
TRN-0031,COR-3,SEC-5,LIN-7,GOODS,2026-09-03,10:00,10:45,10,10
TRN-0032,COR-1,SEC-1,LIN-1,PASSENGER,2026-09-04,06:00,06:30,15,15
